language,1980,2018
English,0.6484377084611895,0.4066250211429369
Spanish,0.2123035461749873,0.3703401288637882
Chinese,0.011820583291085198,0.03975743100622961
Filipino,0.010006137097419751,0.023415536676277857
Korean,0.007151052645622649,0.017975529518608112
Armenian,0.0052698988713077355,0.01677163163693987
Vietnamese,0.003175280838914534,0.006863326414186597
Hindi,0.0019878859033540574,0.007843448144058397
Persian,0.002081276516263308,0.007186668602562964
Japanese,0.007898177548896657,0.004915355507659608
German,0.006390586226218748,0.0019250093553475226
Italian,0.005563412226165382,0.0011628244172739353
French,0.005016410064839769,0.003958195328967274
