language,year,pop.pct
English,1980,0.6484377084611895
English,1990,0.5018277879854486
English,2018,0.4066250211429369
English,2000,0.42813196462483605
English,2010,0.3999000028183984
Spanish,2018,0.3703401288637882
Spanish,2010,0.3723282321000924
Spanish,2000,0.3456114536764379
Spanish,1990,0.2878769766600993
Spanish,1980,0.2123035461749873
