PUMA,Name
"05301","Monterey County (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities PUMA"
"05302",Monterey County (Northeast)--Salinas City PUMA
"07501",San Francisco County (North & West)--Richmond District PUMA
"07506",San Francisco County (South Central)--Sunset District (South) PUMA
"07505",San Francisco County (Central)--Sunset District (North) PUMA
"07504",San Francisco County (Central)--Inner Mission & Castro PUMA
"07502",San Francisco County (North & East)--North Beach & Chinatown PUMA
"07507",San Francisco County (South Central)--Bayview & Hunters Point PUMA
"02300",Humboldt County PUMA
"07503",San Francisco County (Central)--South of Market & Potrero PUMA
"09501",Solano County (Southwest)--Vallejo & Benicia Cities PUMA
"09503",Solano County (Northeast)--Vacaville & Dixon Cities PUMA
"09502",Solano County (Central)--Fairfield & Suisun City Cities PUMA
"09701","Sonoma County (North)--Windsor Town, Healdsburg & Sonoma Cities PUMA"
"09702","Sonoma County (South)--Petaluma, Rohnert Park & Cotati Cities PUMA"
"09703",Sonoma County (Central)--Santa Rosa City PUMA
"09903","Stanislaus County (Northeast)--Turlock, Riverbank, Oakdale & Waterford Cities PUMA"
"09901","Stanislaus County (Southwest)--Ceres, Patterson & Newman Cities PUMA"
"09904",Stanislaus County (Central)--Modesto City (East) PUMA
"09902",Stanislaus County (Central)--Modesto City (West) PUMA
"06712","Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East) PUMA"
"06711","Sacramento County (South)--Galt, Isleton Cities & Delta Region PUMA"
"07704","San Joaquin County (North)--Lodi, Ripon & Escalon Cities PUMA"
"06705",Sacramento County (Northwest)--Sacramento City (Northwest/Natomas) PUMA
"06706","Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda PUMA"
"06702",Sacramento County (Central)--Rancho Cordova City PUMA
"06708","Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park) PUMA"
"06704","Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park PUMA"
"06710",Sacramento County (Central)--Elk Grove City PUMA
"06709","Sacramento County--Sacramento City (Southwest/Pocket, Meadowview & North Laguna) PUMA"
"06707",Sacramento County (West)--Sacramento City (Central/Downtown & Midtown) PUMA
"06701",Sacramento County (North Central)--Citrus Heights City PUMA
"06703","Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West) PUMA"
"05914",Orange County (Northwest)--Huntington Beach City PUMA
"05901","Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA"
"05903","Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA"
"05918",Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA
"05908","Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA"
"05915",Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA
"05904",Orange County (Central)--Irvine City (Central) PUMA
"05912","Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA"
"05905","Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA"
"05902",Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA
"05917",Orange County (Central)--Santa Ana City (East) PUMA
"05916",Orange County (Central)--Santa Ana City (West) PUMA
"05906","Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA"
"05910",Orange County (North Central)--Anaheim City (East) PUMA
"05911",Orange County (Central)--Orange & Villa Park Cities PUMA
"05909",Orange County (North Central)--Anaheim City (West) PUMA
"05913",Orange County (Northwest)--Garden Grove City (East) PUMA
"05907",Orange County (North Central)--Fullerton & Placentia Cities PUMA
"01907","Fresno County (East)--Sanger, Reedley & Parlier Cities PUMA"
"01901","Fresno County (West)--Selma, Kerman & Coalinga Cities PUMA"
