zcta,total,car.alone,car.carpool,public.transit,walked,other.commute,worked.at.home,pct.car.alone,pct.car.carpool,pct.public.transit,pct.walked,pct.other.commute,pct.worked.at.home
00601,3453,3024,170,0,145,44,70,0.8757602085143353,0.04923255140457573,0,0.04199247031566754,0.012742542716478424,0.020272227048942947
00602,11444,7917,2448,32,407,165,475,0.6918035651869976,0.2139112198531982,0.0027962250961202375,0.035564487941279276,0.014418035651869976,0.04150646627053478
00603,11908,10524,612,35,402,285,50,0.8837756130332549,0.051394020826335235,0.0029392005374538127,0.03375881760161236,0.02393349009069533,0.004198857910648304
00606,1355,1153,8,0,170,4,20,0.8509225092250923,0.005904059040590406,0,0.12546125461254612,0.002952029520295203,0.014760147601476014
00610,8391,5882,1827,23,176,219,264,0.7009891550470743,0.2177332856632106,0.0027410320581575495,0.020974854010249077,0.02609939220593493,0.031462281015373614
00612,14862,12981,959,128,379,91,324,0.8734356075898264,0.06452698156371955,0.008612568967837438,0.025501278428206164,0.006122998250571929,0.021800565199838515
00616,3071,2649,346,0,16,0,60,0.8625854770433083,0.1126668837512211,0,0.005210029306414849,0,0.01953760989905568
00617,5627,4902,400,29,133,99,64,0.8711569219832949,0.07108583614714768,0.005153723120668207,0.023636040518926604,0.017593744446419052,0.01137373378354363
00622,1286,1210,0,0,0,0,76,0.9409020217729394,0,0,0,0,0.05909797822706065
00623,10898,9755,203,10,162,23,745,0.8951183703431822,0.01862727105890989,9.175995595522114e-4,0.014865112864745825,0.0021104789869700862,0.06836116718663975
00624,5556,4809,279,0,138,287,43,0.8655507559395248,0.050215982721382287,0,0.024838012958963283,0.05165586753059755,0.007739380849532037
00627,8412,7477,551,15,151,67,151,0.8888492629576795,0.06550166428911079,0.001783166904422254,0.01795054683785069,0.007964812173086068,0.01795054683785069
00631,394,394,0,0,0,0,0,1,0,0,0,0,0
00637,5600,4711,448,49,239,17,136,0.84125,0.08,0.00875,0.04267857142857143,0.0030357142857142857,0.024285714285714285
00638,3209,2523,529,11,121,0,25,0.7862262387036459,0.1648488625740106,0.003427859146151449,0.03770645060766594,0,0.007790588968526021
00641,5930,4918,423,0,373,49,167,0.8293423271500843,0.07133220910623946,0,0.06290050590219225,0.008263069139966273,0.028161888701517708
00646,11516,9404,749,51,586,430,296,0.8166029871483154,0.06503994442514761,0.004428621048975338,0.05088572420979507,0.03733935394234109,0.025703369225425494
00647,1059,1009,39,0,11,0,0,0.9527856468366384,0.036827195467422094,0,0.010387157695939566,0,0
00650,3841,3306,162,8,216,61,88,0.8607133558969019,0.04217651653215308,0.002082790939859412,0.05623535537620411,0.015881280916428014,0.022910700338453528
00652,891,769,91,0,31,0,0,0.8630751964085297,0.10213243546576879,0,0.03479236812570146,0,0
00653,2301,2013,129,1,82,14,62,0.8748370273794003,0.0560625814863103,4.34593654932638e-4,0.035636679704476315,0.006084311169056932,0.026944806605823556
00656,4592,4175,163,0,127,91,36,0.9091898954703833,0.03549651567944251,0,0.027656794425087106,0.019817073170731708,0.0078397212543554
00659,11961,11092,146,17,378,0,328,0.927347211771591,0.012206337262770671,0.0014212858456650781,0.03160270880361174,0,0.027422456316361508
00660,4652,4017,393,120,76,0,46,0.8634995700773861,0.08447979363714532,0.025795356835769563,0.01633705932932072,0,0.009888220120378332
00662,9979,8782,831,54,203,37,72,0.8800481010121255,0.08327487724220864,0.005411363864114641,0.02034271971139393,0.0037077863513378093,0.007215151818819521
00664,3269,2849,76,20,245,0,79,0.8715203426124197,0.023248699908228816,0.0061180789232181095,0.07494646680942184,0,0.02416641174671153
00667,4594,4256,96,0,52,22,168,0.9264257727470614,0.02089682194166304,0,0.011319111885067479,0.00478885502829778,0.03656943839791032
00669,6242,5836,131,36,106,30,103,0.9349567446331304,0.020986863184876643,0.005767382249279077,0.016981736622877282,0.004806151874399231,0.01650112143543736
