NAME,age.group,pop,pop.pct
"Spring Valley CDP (Lake County), California",age.18.64,636,0.5883441258094357
"Spring Valley CDP (Lake County), California",age.65.99,192,0.17761332099907493
"Spring Valley CDP (San Diego County), California",age.0.17,8197,0.2594726346111234
"Spring Valley CDP (San Diego County), California",age.18.64,19396,0.6139723338925643
"Spring Valley CDP (San Diego County), California",age.65.99,3998,0.12655503149631225
"Spring Valley Lake CDP, California",age.0.17,1778,0.22959710743801653
"Spring Valley Lake CDP, California",age.18.64,4627,0.5974948347107438
"Spring Valley Lake CDP, California",age.65.99,1339,0.17290805785123967
"Stevenson Ranch CDP, California",age.0.17,5502,0.2841355091923156
"Stevenson Ranch CDP, California",age.18.64,11928,0.6159884321421194
"Stevenson Ranch CDP, California",age.65.99,1934,0.09987605866556497
"Stevinson CDP, California",age.0.17,26,0.07854984894259819
"Stevinson CDP, California",age.18.64,244,0.7371601208459214
"Stevinson CDP, California",age.65.99,61,0.18429003021148035
"Stirling City CDP, California",age.0.17,167,0.5439739413680782
"Stirling City CDP, California",age.18.64,84,0.2736156351791531
"Stirling City CDP, California",age.65.99,56,0.18241042345276873
"Stonyford CDP, California",age.0.17,1,0.007352941176470588
"Stonyford CDP, California",age.18.64,103,0.7573529411764706
"Stonyford CDP, California",age.65.99,32,0.23529411764705882
"Strawberry CDP (Marin County), California",age.0.17,1190,0.2066330960236152
"Strawberry CDP (Marin County), California",age.18.64,3464,0.6014933148115993
"Strawberry CDP (Marin County), California",age.65.99,1105,0.19187358916478556
"Strawberry CDP (Tuolumne County), California",age.0.17,0,0
"Strawberry CDP (Tuolumne County), California",age.18.64,1,0.2
"Strawberry CDP (Tuolumne County), California",age.65.99,4,0.8
"Sugarloaf Mountain Park CDP, California",age.0.17,0,NaN
"Sugarloaf Mountain Park CDP, California",age.18.64,0,NaN
"Sugarloaf Mountain Park CDP, California",age.65.99,0,NaN
"Sugarloaf Saw Mill CDP, California",age.0.17,0,NaN
"Sugarloaf Saw Mill CDP, California",age.18.64,0,NaN
"Sugarloaf Saw Mill CDP, California",age.65.99,0,NaN
"Sugarloaf Village CDP, California",age.0.17,0,0
"Sugarloaf Village CDP, California",age.18.64,1,0.1
"Sugarloaf Village CDP, California",age.65.99,9,0.9
"Sultana CDP, California",age.0.17,441,0.42815533980582526
"Sultana CDP, California",age.18.64,532,0.516504854368932
"Sultana CDP, California",age.65.99,57,0.05533980582524272
"Sunnyside CDP, California",age.0.17,1183,0.26578297011907437
"Sunnyside CDP, California",age.18.64,2465,0.5538081330038194
"Sunnyside CDP, California",age.65.99,803,0.18040889687710626
"Sunny Slopes CDP, California",age.0.17,0,0
"Sunny Slopes CDP, California",age.18.64,57,0.7125
"Sunny Slopes CDP, California",age.65.99,23,0.2875
"Tarpey Village CDP, California",age.0.17,877,0.2587020648967552
"Tarpey Village CDP, California",age.18.64,1965,0.5796460176991151
"Tarpey Village CDP, California",age.65.99,548,0.1616519174041298
"Sun Village CDP, California",age.0.17,4083,0.3020864160994377
"Sun Village CDP, California",age.18.64,7730,0.5719147676827464
"Sun Village CDP, California",age.65.99,1703,0.12599881621781592
"Swall Meadows CDP, California",age.0.17,4,0.01834862385321101
"Swall Meadows CDP, California",age.18.64,49,0.22477064220183487
"Swall Meadows CDP, California",age.65.99,165,0.7568807339449541
"Tahoma CDP, California",age.0.17,201,0.23183391003460208
"Tahoma CDP, California",age.18.64,561,0.6470588235294118
"Tahoma CDP, California",age.65.99,105,0.12110726643598616
"Terminous CDP, California",age.0.17,17,0.0413625304136253
"Terminous CDP, California",age.18.64,189,0.45985401459854014
"Terminous CDP, California",age.65.99,205,0.49878345498783455
"Teviston CDP, California",age.0.17,388,0.3777994157740993
"Teviston CDP, California",age.18.64,543,0.5287244401168452
"Teviston CDP, California",age.65.99,96,0.0934761441090555
"Thermal CDP, California",age.0.17,393,0.2891832229580574
"Thermal CDP, California",age.18.64,834,0.6136865342163356
"Thermal CDP, California",age.65.99,132,0.09713024282560706
"Thornton CDP, California",age.0.17,358,0.3448940269749518
"Thornton CDP, California",age.18.64,567,0.546242774566474
"Thornton CDP, California",age.65.99,113,0.10886319845857419
"Berry Creek CDP, California",age.0.17,108,0.08702659145850121
"Berry Creek CDP, California",age.18.64,815,0.6567284448025785
"Berry Creek CDP, California",age.65.99,318,0.25624496373892025
"Bieber CDP, California",age.0.17,31,0.17415730337078653
"Bieber CDP, California",age.18.64,103,0.5786516853932584
"Bieber CDP, California",age.65.99,44,0.24719101123595505
"Big Creek CDP, California",age.0.17,87,0.4627659574468085
"Big Creek CDP, California",age.18.64,89,0.4734042553191489
"Big Creek CDP, California",age.65.99,12,0.06382978723404255
"Big Lagoon CDP, California",age.0.17,12,0.1016949152542373
"Big Lagoon CDP, California",age.18.64,65,0.5508474576271186
"Big Lagoon CDP, California",age.65.99,41,0.3474576271186441
"Blackhawk CDP, California",age.0.17,2173,0.22038539553752534
"Blackhawk CDP, California",age.18.64,5859,0.5942190669371197
"Blackhawk CDP, California",age.65.99,1828,0.18539553752535498
"Blacklake CDP, California",age.0.17,37,0.04147982062780269
"Blacklake CDP, California",age.18.64,338,0.3789237668161435
"Blacklake CDP, California",age.65.99,517,0.5795964125560538
"Bloomfield CDP, California",age.0.17,0,0
"Bloomfield CDP, California",age.18.64,310,0.8010335917312662
"Bloomfield CDP, California",age.65.99,77,0.19896640826873385
"Bodega CDP, California",age.0.17,12,0.02536997885835095
"Bodega CDP, California",age.18.64,229,0.48414376321353064
"Bodega CDP, California",age.65.99,232,0.4904862579281184
"Bonny Doon CDP, California",age.0.17,501,0.16650049850448653
"Bonny Doon CDP, California",age.18.64,1865,0.619807244931871
"Bonny Doon CDP, California",age.65.99,643,0.2136922565636424
"Boonville CDP, California",age.0.17,157,0.18427230046948356
"Boonville CDP, California",age.18.64,500,0.5868544600938967
"Boonville CDP, California",age.65.99,195,0.22887323943661972
"Boulevard CDP, California",age.0.17,55,0.12359550561797752
"Boulevard CDP, California",age.18.64,158,0.3550561797752809
"Boulevard CDP, California",age.65.99,232,0.5213483146067416
"Bridgeport CDP, California",age.0.17,27,0.05818965517241379
"Bridgeport CDP, California",age.18.64,266,0.5732758620689655
"Bridgeport CDP, California",age.65.99,171,0.36853448275862066
"Brookdale CDP, California",age.0.17,357,0.15223880597014924
"Brookdale CDP, California",age.18.64,1578,0.6729211087420043
"Brookdale CDP, California",age.65.99,410,0.17484008528784648
"Brooktrails CDP, California",age.0.17,1104,0.29765435427338904
"Brooktrails CDP, California",age.18.64,1973,0.5319493124831491
"Brooktrails CDP, California",age.65.99,632,0.17039633324346184
"Buckhorn CDP, California",age.0.17,272,0.12110418521816563
"Buckhorn CDP, California",age.18.64,1070,0.4764024933214604
"Buckhorn CDP, California",age.65.99,904,0.402493321460374
"Buck Meadows CDP, California",age.0.17,0,0
"Buck Meadows CDP, California",age.18.64,43,0.8431372549019608
"Buck Meadows CDP, California",age.65.99,8,0.1568627450980392
"Buena Vista CDP, California",age.0.17,114,0.21673003802281368
"Buena Vista CDP, California",age.18.64,288,0.5475285171102662
"Buena Vista CDP, California",age.65.99,124,0.23574144486692014
"Burnt Ranch CDP, California",age.0.17,8,0.023668639053254437
"Burnt Ranch CDP, California",age.18.64,243,0.7189349112426036
"Burnt Ranch CDP, California",age.65.99,87,0.257396449704142
"Butte Creek Canyon CDP, California",age.0.17,127,0.1364124597207304
"Butte Creek Canyon CDP, California",age.18.64,375,0.4027926960257787
"Butte Creek Canyon CDP, California",age.65.99,429,0.4607948442534909
"Butte Meadows CDP, California",age.0.17,0,0
"Butte Meadows CDP, California",age.18.64,53,1
"Butte Meadows CDP, California",age.65.99,0,0
"Butte Valley CDP, California",age.0.17,64,0.12549019607843137
"Butte Valley CDP, California",age.18.64,303,0.5941176470588235
"Butte Valley CDP, California",age.65.99,143,0.2803921568627451
"California Hot Springs CDP, California",age.0.17,3,0.08333333333333333
"California Hot Springs CDP, California",age.18.64,15,0.4166666666666667
"California Hot Springs CDP, California",age.65.99,18,0.5
"California Pines CDP, California",age.0.17,57,0.1168032786885246
"California Pines CDP, California",age.18.64,261,0.5348360655737705
"California Pines CDP, California",age.65.99,170,0.3483606557377049
"Taft Heights CDP, California",age.0.17,928,0.38283828382838286
"Taft Heights CDP, California",age.18.64,1330,0.5486798679867987
"Taft Heights CDP, California",age.65.99,166,0.06848184818481848
"Biola CDP, California",age.0.17,513,0.35354927636113026
"Biola CDP, California",age.18.64,842,0.580289455547898
"Biola CDP, California",age.65.99,96,0.06616126809097174
"Santa Cruz city, California",age.0.17,8339,0.12974343814665568
"Santa Cruz city, California",age.18.64,48434,0.7535668165481617
"Santa Cruz city, California",age.65.99,7500,0.11668974530518259
"Ceres city, California",age.0.17,14918,0.31095362167795726
"Ceres city, California",age.18.64,28570,0.5955184992183429
"Ceres city, California",age.65.99,4487,0.09352787910369985
"Hawaiian Gardens city, California",age.0.17,3987,0.2766636597043925
"Hawaiian Gardens city, California",age.18.64,8917,0.6187634445909375
"Hawaiian Gardens city, California",age.65.99,1507,0.10457289570467004
"La Puente city, California",age.0.17,10029,0.24905632263832322
"La Puente city, California",age.18.64,25694,0.6380748981821794
"La Puente city, California",age.65.99,4545,0.11286877917949736
"Monterey Park city, California",age.0.17,10107,0.16625542834583498
"Monterey Park city, California",age.18.64,37793,0.62167719436768
"Monterey Park city, California",age.65.99,12892,0.21206737728648506
"Paramount city, California",age.0.17,15655,0.28580035051847524
"Paramount city, California",age.18.64,34799,0.635296480210311
"Paramount city, California",age.65.99,4322,0.07890316927121367
"San Fernando city, California",age.0.17,6109,0.24848484848484848
"San Fernando city, California",age.18.64,16054,0.6529997966239577
"San Fernando city, California",age.65.99,2422,0.09851535489119381
