community_name,community_type,community_parent,tot_pop_univ,white,black,asn,hisp,oth,pct_tot_pop_univ,pct_white,pct_black,pct_asn,pct_hisp,pct_oth
Acton,Unincorporated neighborhood,Acton,7226.242164024438,5358.564287438754,157.86619563192275,108.39416415021529,1296.1952165804555,305.22230022310424,1.0,0.7415423073027022,0.021846236542950828,0.015000073577640584,0.17937334331715485,0.042238039259553384
Adams-Normandie,Incorporated neighborhood,Adams-Normandie,17173.318152899843,1094.2461508904487,3737.0090351911826,1345.0357210909315,10784.346299390409,212.68094633686985,1.0,0.06371780579314994,0.21760553213533523,0.07832124864371724,0.6279710306053692,0.012384382822428354
Agoura Hills,City,Agoura Hills,20631.057701327867,15698.539269301096,326.92252613465394,1334.9255524885345,2649.2956827303874,621.3746706731866,1.0,0.7609178112225773,0.015846135029403383,0.06470465895709338,0.12841298401098805,0.03011841077993754
Agua Dulce,Unincorporated neighborhood,Agua Dulce,3500.769738729277,2550.826748021625,11.42337215403691,82.9374418918362,621.5171786509483,234.06499801082816,1.0,0.7286473942577938,0.0032631029763709653,0.023691201673247196,0.17753729180615832,0.0668610092864291
Alhambra,City,Alhambra,84866.00000000006,7721.999999999986,1494.0,42902.00000000003,31288.99999999997,1459.0000000000007,1.0,0.09099050267480477,0.01760422312822566,0.5055263592015649,0.3686871067329667,0.017191808262437252
Alondra Park,Unincorporated neighborhood,Alondra Park,8646.624414952976,1605.9478581193844,1175.1884606709048,1965.4940247630734,3529.8581853443843,370.1358860552288,1.0,0.18573119185588197,0.1359129764719052,0.22731344978556728,0.4082354010011179,0.04280698088552766
Altadena,Unincorporated neighborhood,Altadena,44649.864898641405,17384.86567636929,9498.940964118608,3429.2439843293914,11854.177037173973,2482.6372366501296,1.0,0.38935987187943927,0.21274288255254362,0.07680300919418315,0.26549189038049403,0.05560234599333963
Angeles Crest,Unincorporated area,Angeles Crest,663.2325656677483,435.93453656908895,53.38668459174399,20.37703798468577,127.06646387609041,26.46784264613873,1.0,0.6572875928222648,0.0804946671127251,0.030723820028604885,0.19158658735063588,0.03990733268576865
Arcadia,City,Arcadia,57302.06959552707,13643.966276582405,935.5877306467993,34042.145950492515,6710.374360305524,1969.9952774998314,1.0,0.23810599465062665,0.01632729388747645,0.5940823113507545,0.11710527050194583,0.034379129609196646
Arleta,Incorporated neighborhood,Arleta,33793.35163528245,2776.162338949454,408.36233894945485,3643.89554013875,26572.62457879089,392.30683845391496,1.0,0.08215113933981501,0.012084102913399631,0.10782876997421845,0.7863269931191834,0.011608994653383867
Arlington Heights,Incorporated neighborhood,Arlington Heights,24086.325635669702,1223.8364820946722,3721.5124214320226,4542.820421429817,14161.425930988256,436.7303797249372,1.0,0.05081042665479368,0.15450727013010213,0.1886057877878353,0.5879446348602232,0.018131880567045826
Artesia,City,Artesia,16789.0,3356.9999999999995,408.00000000000017,6229.000000000001,6371.999999999999,423.00000000000006,1.0,0.1999523497528143,0.024301626064685222,0.37101673714932404,0.37953421883376015,0.025195068199416287
Athens,Unincorporated neighborhood,Athens,8017.966502463056,91.87684729064043,4005.878817733991,115.83251231527096,3526.3862068965514,277.9921182266009,1.0,0.011458871431106202,0.4996128153570381,0.014446619635999743,0.43981054370996353,0.034671149865892294
Atwater Village,Incorporated neighborhood,Atwater Village,13603.0073755378,3877.315304240933,148.99999999999997,3109.192378610941,6069.629993853722,397.86969883220667,1.0,0.2850336838906288,0.010953460208214376,0.22856654361609635,0.44619765514269283,0.029248657142367882
Avalon,City,Avalon,3730.0626185958254,1059.5370018975334,7.999999999999997,10.468690702087287,2595.322580645161,56.73434535104364,1.0,0.28405340881285096,0.0021447361125030073,0.002806572374923884,0.695785257788022,0.015210024911700055
Avocado Heights,Unincorporated neighborhood,Avocado Heights,16239.799766237273,1060.8154946100785,10.965542657084944,1782.4633555074136,13262.452583805452,123.10278965723394,1.0,0.0653219565437947,0.0006752264692254661,0.10975894907357017,0.8166635534126622,0.0075803145007468644
Azusa,City,Azusa,47322.47614128887,9413.018329117342,1180.555120474473,4711.224718504212,30937.20087975964,1080.4770934332319,1.0,0.1989122103630685,0.02494702764389876,0.09955575241747902,0.6537527915359215,0.02283221803963287
Baldwin Hills/Crenshaw,Incorporated neighborhood,Baldwin Hills/Crenshaw,30802.70609926677,1910.952419686713,17621.29723904816,1555.2104213344116,8496.515244289678,1218.7307749078086,1.0,0.06203845900838568,0.5720697779688785,0.05048940883059077,0.27583664944593717,0.03956570474620798
Baldwin Park,City,Baldwin Park,76537.56767290222,2897.2918324077905,1447.3183968100184,13693.40640568485,57803.986901952696,695.5641360468642,1.0,0.037854506231370134,0.018909908438629868,0.1789109168481315,0.7552367897159858,0.009087878765882516
Bel-Air,Incorporated neighborhood,Bel-Air,7626.865030674848,5687.209704406023,202.01171221416627,778.1918572225322,584.6826547685444,374.7691020635805,1.0,0.7456811785094356,0.026486860774602126,0.10203299181153537,0.07666094160798462,0.049138027296442115
Bell,City,Bell,35716.966892400305,1518.1750689741648,308.45071482317525,451.67218459995,33371.63707047908,67.03185352395283,1.0,0.042505710900585886,0.008635971686856926,0.01264587180542631,0.934335694601765,0.0018767510053664597
Bell Gardens,City,Bell Gardens,42804.99999999998,1316.9999999999995,220.00000000000009,327.0000000000001,40866.99999999999,73.99999999999999,1.0,0.030767433711015073,0.005139586496904572,0.0076392944749445225,0.9547249153136319,0.001728770003504264
Bellflower,City,Bellflower,77687.00000000004,12747.999999999998,10109.000000000004,10063.0,43068.999999999985,1698.000000000001,1.0,0.16409437872488308,0.13012473129352398,0.12953261163386404,0.5543913396063687,0.021856938741359556
Beverly Crest,Incorporated neighborhood,Beverly Crest,10599.07266580986,8697.542510512523,141.61332351032655,820.1039415771245,673.478534142573,266.3343560673137,1.0,0.820594667547546,0.013360916372159441,0.0773750654830954,0.06354126963531989,0.025128080961879462
Beverly Grove,Incorporated neighborhood,Beverly Grove,22180.34295002031,16411.441690369767,564.0548557496955,2161.1141812271444,1966.9357984559115,1076.7964242177977,1.0,0.7399092848722044,0.025430393796015634,0.09743375862568282,0.08867923290852951,0.04854732979756798
Beverly Hills,City,Beverly Hills,34627.0,27384.000000000004,387.00000000000006,3261.9999999999977,1958.0000000000007,1635.9999999999982,1.0,0.7908279666156468,0.011176249747307016,0.09420394489848956,0.05654547029774455,0.04724636844081203
Beverlywood,Incorporated neighborhood,Beverlywood,6658.303378404139,5217.299474140698,179.51205246343903,654.3621660979122,439.19501669382004,167.93466900827264,1.0,0.7835779143171424,0.026960629797326004,0.0982776135164255,0.06596200138887126,0.025221840980235298
Boyle Heights,Incorporated neighborhood,Boyle Heights,93156.89719321141,2214.6710182767624,977.9680156657972,3004.056462140993,86777.21997389034,182.98172323759783,1.0,0.023773559285507756,0.010498074164465241,0.03224727908133792,0.9315168558470841,0.0019642316216059224
Bradbury,City,Bradbury,928.7616099071208,506.15479876160987,16.22291021671827,266.86687306501545,122.48297213622291,17.034055727554186,1.0,0.5449781659388645,0.017467248908296946,0.28733624454148465,0.1318777292576419,0.018340611353711796
Brentwood,Incorporated neighborhood,Brentwood,32491.852651402398,26234.969663548403,365.6813797724376,2849.5727646115943,1892.9970312851126,1148.631812184833,1.0,0.8074322490938682,0.011254556140450003,0.08770114758256489,0.058260667730912166,0.03535137945220419
Broadway-Manchester,Incorporated neighborhood,Broadway-Manchester,28775.547362037247,159.10422808907768,8288.183233210473,117.9145264401963,20030.08796847795,180.2574058195651,1.0,0.005529146885976505,0.2880286907815639,0.004097733570682918,0.6960801723932825,0.0062642563684947835
