zcta,total,crowded,not.crowded,pct.crowded,zval
ZCTA5 90011,24160,8369,15791,0.34639900662251655,270.507488673524
ZCTA5 90057,17031,6648,10383,0.39034701426809937,259.0126442508348
ZCTA5 90006,19419,6997,12422,0.36031721509861475,253.30414414559118
ZCTA5 11368,28502,8451,20051,0.2965055083853765,246.9682929812055
ZCTA5 92701,13053,5466,7587,0.41875430935417146,244.80337048729427
ZCTA5 92703,13589,5184,8405,0.3814850246522923,225.61841586839955
ZCTA5 90255,18500,5956,12544,0.32194594594594594,218.21385879869544
ZCTA5 90201,24065,6811,17254,0.28302514024516934,215.30296448358826
ZCTA5 92704,20269,5846,14423,0.2884207410331047,201.8656464019151
ZCTA5 93458,13230,4514,8716,0.3411942554799698,196.84619640777134
ZCTA5 90001,13815,4613,9202,0.3339124140427072,196.39146147208774
ZCTA5 11219,24430,6265,18165,0.25644699140401145,193.82759570619427
ZCTA5 11220,28083,6532,21551,0.2325962325962326,185.5870742348914
ZCTA5 93033,17109,4800,12309,0.28055409433631423,179.74132273965535
ZCTA5 90744,14638,4386,10252,0.29963109714441866,179.0912205596649
ZCTA5 93905,12899,4024,8875,0.31196216760989226,175.905215306076
ZCTA5 75220,14476,4283,10193,0.29586902459242886,175.58027254059678
ZCTA5 90280,23926,5652,18274,0.23622837080999748,174.42580056242792
ZCTA5 90813,17148,4555,12593,0.2656286447399114,169.0768733198594
ZCTA5 91331,23367,5414,17953,0.23169426969658063,168.5217499225635
ZCTA5 90005,16442,4421,12021,0.26888456392166404,167.88150433176173
ZCTA5 90003,17127,4493,12634,0.26233432591814093,166.57575341289657
ZCTA5 90017,10869,3464,7405,0.3187045726377772,165.38041864189924
ZCTA5 11373,30285,6116,24169,0.20194815915469705,163.06514622693152
ZCTA5 11208,32181,6329,25852,0.1966688418632112,162.82530488220777
ZCTA5 92335,24837,5438,19399,0.21894753794741717,162.57019131127686
ZCTA5 92805,19113,4511,14602,0.23601737037618375,155.73562031029758
ZCTA5 90004,21971,4841,17130,0.22033589731919348,154.04752122833972
ZCTA5 90262,15551,3892,11659,0.25027329432190853,150.362568282668
ZCTA5 90037,17334,4124,13210,0.23791392638744663,149.69945314270038
ZCTA5 07055,19672,4387,15285,0.22300732004880033,147.84894483258634
ZCTA5 91402,19476,4355,15121,0.2236085438488396,147.57716674886126
