rankinyear,1980_lang,1980_count,1980_pct,1990_lang,1990_count,1990_pct,2000_lang,2000_count,2000_pct,2010_lang,2010_count,2010_pct,2018_lang,2018_count,2018_pct
1,1: English,4860300,0.6484377084611895,1: English,4420468,0.5018277879854486,1: English,4068318,0.42813196462483605,1: English,3930328,0.3999000028183984,1: English,4108477,0.4066250211429369
2,12: Spanish,1591300,0.2123035461749873,12: Spanish,2535832,0.2878769766600993,12: Spanish,3284168,0.3456114536764379,12: Spanish,3659345,0.3723282321000924,12: Spanish,3741860,0.3703401288637882
3,43: Chinese,88600,0.011820583291085198,43: Chinese,194545,0.0220854640308739,43: Chinese,256006,0.026940949978773977,43: Chinese,333886,0.03397197698029879,43: Chinese,401703,0.03975743100622961
4,"54: Filipino, Tagalog",75000,0.010006137097419751,"54: Filipino, Tagalog",155155,0.01761376633534781,"54: Filipino, Tagalog",204409,0.021511107724862737,"54: Filipino, Tagalog",222248,0.02261311926800598,"54: Filipino, Tagalog",236587,0.023415536676277857
5,48: Japanese,59200,0.007898177548896657,49: Korean,125840,0.014285819700558594,49: Korean,167014,0.017575821737595827,49: Korean,191070,0.01944084400551592,49: Korean,181622,0.017975529518608112
6,49: Korean,53600,0.007151052645622649,28: Armenian,97006,0.011012477955120684,28: Armenian,129361,0.013613384960525067,28: Armenian,165571,0.016846391285064512,28: Armenian,169458,0.01677163163693987
7,2: German,47900,0.006390586226218748,48: Japanese,63141,0.007167998583224492,"29: Persian, Iranian, Farsi",72628,0.007643052565402359,50: Vietnamese,86663,0.008817720542471484,31: Hindi and related,79249,0.007843448144058397
8,10: Italian,41700,0.005563412226165382,50: Vietnamese,53482,0.0060714733727374025,50: Vietnamese,68984,0.007259573968327867,"29: Persian, Iranian, Farsi",66967,0.006813707021078059,"29: Persian, Iranian, Farsi",72613,0.007186668602562964
9,28: Armenian,39500,0.0052698988713077355,"29: Persian, Iranian, Farsi",43537,0.004942480390203587,48: Japanese,59553,0.006267096841815921,31: Hindi and related,65257,0.006639719250892094,50: Vietnamese,69346,0.006863326414186597
10,11: French,37600,0.005016410064839769,11: French,37934,0.0043064072196518565,31: Hindi and related,53934,0.005675777896436785,48: Japanese,52735,0.0053656403864075055,48: Japanese,49664,0.004915355507659608
